description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
ADD ITEM STAT - Amulet & 9 Topaz = Amulet & Assasin-skills +1	1				100					10	amu,any	gmt,qty=9						useitem		100		ass	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Ruby = Amulet & Barbar-skills +1	1				100					10	amu,any	gmr,qty=9						useitem		100		bar	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Sapphire = Amulet & Sroceress-skills +1	1				100					10	amu,any	gms,qty=9						useitem		100		sor	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Emerald = Amulet & Druid-skills +1	1				100					10	amu,any	gme,qty=9						useitem		100		dru	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Skull = Amulet & Necromancer-skills +1	1				100					10	amu,any	gmk,qty=9						useitem		100		nec	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Amethyst = Amulet & Amazon-skills +1	1				100					10	amu,any	gmm,qty=9						useitem		100		ama	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 9 Diamond = Amulet & Paladin-skills +1	1				100					10	amu,any	gmd,qty=9						useitem		100		pal	100		1	1	levelreq	100		30	30																																																																										0
ADD ITEM STAT - Amulet & 3 Jewel Magic & Zod = Amulet & Level requirements -10	1				100					5	amu,any	jew,mag,qty=3	r33					useitem		100		levelreq	100		-10	-10																																																																															0
ADD ITEM STAT - Armor & 3 Diamond = Armor & Defense +5%	1				100					4	armo,any	gmd,qty=3						useitem		100		ac%	100		5	5	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Zod = Armor & Level requirements -10	1				100					5	armo,any	jew,mag,qty=3	r33					useitem		100		levelreq	100		-10	-10																																																																															0
ADD ITEM STAT - Armor & 3 Jewel Magic & El = Armor & Light +1	1				100					5	armo,any	jew,mag,qty=3	r01					useitem		100		light	100		1	1	levelreq	100		1	1																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Hel = Armor & Reduced-Requirements -3%	1				100					5	armo,any	jew,mag,qty=3	r15					useitem		100		ease	100		-3	-3	levelreq	100		1	1																																																																										0
ADD ITEM STAT - Armor & Jewel Magic & 3 Lem= Armor & Cheaper-prices -4%	1				100					5	armo,any	jew,mag	r20,qty=3					useitem		100		cheap	100		4	4	levelreq	100		16	16																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Pul = Armor & Enhanced defense +20%	1				100					5	armo,any	jew,mag,qty=3	r21					useitem		100		ac%	100		20	20	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Um = Armor & Exp +1%	1				100					5	armo,any	jew,mag,qty=3	r22					useitem		100		addxp	100		1	1	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Armor & Gul & Vex & Ohm & Lo = Armor & Res-all max +5	1				100					5	armo,any	r25	r26	r27	r28			useitem		100		res-all-max	100		5	5	levelreq	100		24	24																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Ber = Armor & Reduced-Dmg -5%	1				100					5	armo,any	jew,mag,qty=3	r30					useitem		100		red-dmg%	100		5	5	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Cham = Armor & No-freeze	1				100					5	armo,any	jew,mag,qty=3	r32					useitem		100		nofreeze	100		1	1	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Gul = Armor & Resist-poison max +5	1				100					5	armo,any	jew,mag,qty=3	r25					useitem		100		res-pois-max	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Vex = Armor & Resist-fire max +5	1				100					5	armo,any	jew,mag,qty=3	r26					useitem		100		res-fire-max	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Ohm = Armor & Resist-cold max +5	1				100					5	armo,any	jew,mag,qty=3	r27					useitem		100		res-cold-max	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Armor & 3 Jewel Magic & Lo = Armor & Resist-lightning max +5	1				100					5	armo,any	jew,mag,qty=3	r28					useitem		100		res-ltng-max	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Belt & Topaz = Belt & MF +3%	1				100					2	belt,any	gmt						useitem		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Belt & Ruby = Belt & Hp +5	1				100					2	belt,any	gmr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Belt & Sapphire = Belt & Mana +4	1				100					2	belt,any	gms						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Belt & Emerald = Belt & Dexterity +5	1				100					2	belt,any	gme						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Belt & Skull = Belt & Regenerate-hp +1 & Regenerate-mana +5	1				100					2	belt,any	gmk						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
ADD ITEM STAT - Belt & Amethyst = Belt & Strength +5	1				100					2	belt,any	gmm						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Tir-Rune = Belt & Mana-kill +1	1				100					5	belt,any	jew,mag,qty=3	r03					useitem		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Nef = Belt & Defense +8	1				100					5	belt,any	jew,mag,qty=3	r04					useitem		100		ac	100		8	8	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Eth = Belt & Regenerate-mana +5	1				100					5	belt,any	jew,mag,qty=3	r05					useitem		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Ith = Belt & Dmg-to-mana +3%	1				100					5	belt,any	jew,mag,qty=3	r06					useitem		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Belt & Tal & Ral & Ort & Thul-Rune = Belt & Resist-all +10	1				100					5	belt,any	r07	r08	r09	r10			useitem		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Amn = Belt & Dmg to attacker +10	1				100					5	belt,any	jew,mag,qty=3	r11					useitem		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Sol = Belt & Red dmg +1	1				100					5	belt,any	jew,mag,qty=3	r12					useitem		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Shael = Belt & Fhr +5%	1				100					5	belt,any	jew,mag,qty=3	r13					useitem		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Dol = Belt & Regenerate-hp +2	1				100					5	belt,any	jew,mag,qty=3	r14					useitem		100		regen	100		2	2	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Belt & Io & Lum & Ko & Fal-Rune = Belt & All-stats +5	1				100					5	belt,any	r16	r17	r18	r19			useitem		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Lem = Belt & Extra gold +8%	1				100					5	belt,any	jew,mag,qty=3	r20					useitem		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Mal = Belt & Reduce magic dmg -1	1				100					5	belt,any	jew,mag,qty=3	r23					useitem		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Ist = Belt & MF +15%	1				100					5	belt,any	jew,mag,qty=3	r24					useitem		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Sur = Belt & Mana +4%	1				100					5	belt,any	jew,mag,qty=3	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Belt & 3 Jewel Magic & Jah = Belt & Hp +4%	1				100					5	belt,any	jew,mag,qty=3	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Boots & Topaz = Boots & MF +3%	1				100					2	boot,any	gmt						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Boots & Ruby = Boots & Hp +5	1				100					2	boot,any	gmr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Boots & Sapphire = Boots & Mana +4	1				100					2	boot,any	gms						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Boots & Emerald = Boots & Dexterity +5	1				100					2	boot,any	gme						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Boots & Skull = Boots & Regenerate-hp +1 & Regenerate-mana +5	1				100					2	boot,any	gmk						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
ADD ITEM STAT - Boots & Amethyst = Boots & Strength +5	1				100					2	boot,any	gmm						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Tir-Rune = Boots & Mana-kill +1	1				100					5	boot,any	jew,mag,qty=3	r03					useitem		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Nef = Boots & Defense +8	1				100					5	boot,any	jew,mag,qty=3	r04					useitem		100		ac	100		8	8	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Eth = Boots & Regenerate-mana +5	1				100					5	boot,any	jew,mag,qty=3	r05					useitem		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Ith = Boots & Dmg-to-mana +3	1				100					5	boot,any	jew,mag,qty=3	r06					useitem		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Boots & Tal & Ral & Ort & Thul-Rune = Boots & Resist-all +10	1				100					5	boot,any	r07	r08	r09	r10			useitem		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Amn = Boots & Dmg to attacker +10	1				100					5	boot,any	jew,mag,qty=3	r11					useitem		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Sol = Boots & Red dmg +1	1				100					5	boot,any	jew,mag,qty=3	r12					useitem		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Shael = Boots & Fhr +5%	1				100					5	boot,any	jew,mag,qty=3	r13					useitem		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Dol = Boots & Regenerate-hp +2	1				100					5	boot,any	jew,mag,qty=3	r14					useitem		100		regen	100		2	2	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Boots & Io & Lum & Ko & Fal-Rune = Boots & All-stats +5	1				100					5	boot,any	r16	r17	r18	r19			useitem		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Lem = Boots & Extra Gold +8%	1				100					5	boot,any	jew,mag,qty=3	r20					useitem		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Mal = Boots & Reduce magic dmg +1	1				100					5	boot,any	jew,mag,qty=3	r23					useitem		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Ist = Boots & MF +15%	1				100					5	boot,any	jew,mag,qty=3	r24					useitem		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Sur = Boots & Mana +4%	1				100					5	boot,any	jew,mag,qty=3	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Boots & 3 Jewel Magic & Jah = Boots & Hp +4%	1				100					5	boot,any	jew,mag,qty=3	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Gloves & Topaz = Gloves & MF +3%	1				100					2	glov,any	gmt						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Gloves & Ruby = Gloves & Hp +5	1				100					2	glov,any	gmr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Gloves & Sapphire = Gloves & Mana +4	1				100					2	glov,any	gms						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Gloves & Emerald = Gloves & Dexterity +5	1				100					2	glov,any	gme						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Gloves & Skull = Gloves & Regenerate-hp +1 & Regenerate-mana +5	1				100					2	glov,any	gmk						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
ADD ITEM STAT - Gloves & Amethyst = Gloves & Strength +5	1				100					2	glov,any	gmm						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Tir-Rune = Gloves & Mana-kill +1	1				100					5	glov,any	jew,mag,qty=3	r03					useitem		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Nef = Gloves & Defense +8	1				100					5	glov,any	jew,mag,qty=3	r04					useitem		100		ac	100		8	8	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Eth = Gloves & Regenerate-mana +5	1				100					5	glov,any	jew,mag,qty=3	r05					useitem		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Ith = Gloves & Dmg-to-mana +3%	1				100					5	glove,any	jew,mag,qty=3	r06					useitem		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Gloves & Tal & Ral & Ort & Thul-Rune = Gloves & Resist-all +10	1				100					5	glov,any	r07	r08	r09	r10			useitem		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Amn = Gloves & Dmg to attacker +10	1				100					5	glov,any	jew,mag,qty=3	r11					useitem		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
