code	*Id	PickMode	Prop1	ParMin1	ParMax1	ModMin1	ModMax1	Chance1	Prop2	ParMin2	ParMax2	ModMin2	ModMax2	Chance2	Prop3	ParMin3	ParMax3	ModMin3	ModMax3	Chance3	Prop4	ParMin4	ParMax4	ModMin4	ModMax4	Chance4	Prop5	ParMin5	ParMax5	ModMin5	ModMax5	Chance5	Prop6	ParMin6	ParMax6	ModMin6	ModMax6	Chance6	Prop7	ParMin7	ParMax7	ModMin7	ModMax7	Chance7	Prop8	ParMin8	ParMax8	ModMin8	ModMax8	Chance8	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
skilltab-war	0	1	skilltab	21	23	1	1																																																	0
magdam-rand	1	1	extra-mag			3	5	1	dmg%			20	40	1	extra-fire			3	5	1	extra-cold			3	5	1	extra-ltng			3	5	1	extra-pois			3	5	1																		
Virulent-Affix1	2	2	extra-pois			5	15	1	pierce-pois			5	15	1	poisonskill			1	1	1																																				
Gelid-Affix1	3	2	extra-cold			5	15	1	pierce-cold			5	15	1	coldskill			1	1	1																																				
Magnetic-Affix1	4	2	extra-ltng			5	15	1	pierce-ltng			5	15	1	lightningskill			1	1	1																																				
Incendiary-Affix1	5	2	extra-fire			5	15	1	pierce-fire			5	15	1	fireskill			1	1	1																																				
Breaching-Affix1	6	2	dmg%			50	100	1	pierce-dmg			5	15	1	allskills			1	1	1																																				
Mystical-Affix1	7	2	extra-mag			5	15	1	pierce-mag			5	15	1	magicskill			1	1	1																																				
Virulent-Affix2	8	2	mag%			20	30	1	gold%			40	60	1																																										
Gelid-Affix2	9	2	mag%			20	30	1	gold%			40	60	1																																										
Magnetic-Affix2	10	2	mag%			20	30	1	gold%			40	60	1																																										
Incendiary-Affix2	11	2	mag%			20	30	1	gold%			40	60	1																																										
Breaching-Affix2	12	2	mag%			20	30	1	gold%			40	60	1																																										
Mystical-Affix2	13	2	mag%			20	30	1	gold%			40	60	1																																										
Virulent-Affix3	14	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Gelid-Affix3	15	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Magnetic-Affix3	16	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Incendiary-Affix3	17	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Breaching-Affix3	18	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Mystical-Affix3	19	2	hp			20	50	1	mana			20	50	1	ac			50	100	1																																				
Virulent-Affix4	20	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Gelid-Affix4	21	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Magnetic-Affix4	22	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Incendiary-Affix4	23	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Breaching-Affix4	24	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Mystical-Affix4	25	2	move1			10	20	1	balance1			15	30	3	all-stats			5	10	1																																				
Virulent-Affix5	26	2	res-pois			70	70	1	res-pois			35	35	1																																										
Gelid-Affix5	27	2	res-cold			70	70	1	res-cold			35	35	1																																										
Magnetic-Affix5	28	2	res-ltng			70	70	1	res-ltng			35	35	1																																										
Incendiary-Affix5	29	2	res-fire			70	70	1	res-fire			35	35	1																																										
Breaching-Affix5	30	2	red-dmg%			20	20	1	red-dmg%			5	5	1																																										
Mystical-Affix5	31	2	res-mag			20	20	1	res-mag			5	5	1																																										
Virulent-Affix6	32	2	swing1			5	10	1	cast1			5	15	1																																										
Gelid-Affix6	33	2	swing1			5	15	1	cast1			5	15	1																																										
Magnetic-Affix6	34	2	swing1			5	15	1	cast1			5	15	1																																										
Incendiary-Affix6	35	2	swing1			5	15	1	cast1			5	15	1																																										
Breaching-Affix6	36	2	swing1			5	15	1	cast1			5	15	1																																										
Mystical-Affix6	37	2	swing1			5	15	1	cast1			5	15	1																																										
